,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,EL,HR,HU,IE,IS,IT,LU,LT,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,TR
2000,0,0,0,0,0,0,0,0,107101,0,14248,105292,0,0,0,0,43439,0,0,0,0,0,0,0,103143,0,0,0,0,225
2001,0,0,0,0,0,0,0,0,41000,0,11199,9319,0,0,0,0,16553,0,0,0,0,0,0,0,74846,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,54254,0,4142,2239,0,0,0,0,4682,0,0,0,0,0,0,0,85723,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,64822,0,42725,157,0,0,0,0,18659,0,0,0,0,0,0,0,292900,0,0,351,0,0
2004,0,0,0,356,0,0,0,0,90166,0,9225,2526,0,0,0,0,13957,0,0,0,0,0,0,0,131047,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,112153,0,8843,4515,0,0,0,0,20163,0,0,0,0,0,0,0,275480,0,0,0,0,0
2006,0,0,1596,291,0,0,0,0,118527,0,1751,16355,2708,0,0,0,9242,0,0,0,0,0,0,0,56450,0,0,557,0,8475
2007,0,0,67598,2526,0,0,0,0,56589,0,2631,271539,17189,799,0,0,153755,0,0,0,0,0,0,0,15762,0,0,0,0,6861
2008,0,0,5730,1947,0,0,0,0,10073,0,1694,24571,3216,0,0,0,24447,0,0,65,0,0,2751,0,5350,0,1668,0,0,27848
2009,0,0,1564,0,0,0,0,0,88893,0,7973,42757,2208,0,0,46,54941,0,0,0,0,0,0,0,75267,0,741,0,0,5798
2010,0,0,28,1123,0,0,0,0,19913,0,4677,6496,330,0,0,3013,34377,0,0,0,0,0,0,0,127892,0,0,0,0,1278
2011,0,2180,11592,939,0,0,0,0,60396,0,4831,35400,15392,0,16675,0,37445,0,0,0,0,148,641,0,64845,333,143,0,0,8985
2012,0,0,16700,2349,0,0,0,0,189747,0,3355,52315,33070,960,0,0,83079,0,0,0,0,0,0,0,101284,3097,0,262,0,9689
2013,0,0,2992,2857,0,133,0,0,37266,0,914,19817,1017,138,8208,2852,15833,182,0,0,0,0,218,0,154165,3101,50,0,0,19995
2014,0,0,0,436,0,0,0,0,22056,0,4667,14815,304,0,141,0,13248,0,0,0,0,396,3336,54,11574,2403,13633,0,0,7189
2015,0,109,3287,197,0,105,0,0,63636,0,2097,10827,7866,1610,6807,3837,7822,141,0,0,0,22,142,560,47468,7320,147,0,0,55070
2016,0,54,11483,2738,0,314,0,0,52730,0,10793,31760,9111,0,1177,758,35292,0,0,0,0,0,0,0,166070,4368,99,321,0,125801
2017,0,0,5214,652,145,57,131,0,131048,233,20654,19734,67343,458,7241,0,140392,45,0,35,0,0,260,0,563667,30481,732,188,0,47765
2018,0,166,2025,442,0,3699,463,441,12789,411,2636,12064,1289,96,2868,105,14648,74,0,2546,32,183,352,398,37356,3339,21602,0,0,40670
2019,38,315,13828,625,52,2055,108,0,66409,0,45231,11107,11957,601,2898,1868,39651,2316,236,49,0,21,4655,181,34666,73445,537,105,25,83131
2020,168,0,8844,3421,0,314,0,0,61099,0,14547,14915,27477,265,3103,,53807,,43,0,34,822,170,5383,62410,81668,769,168,85,99857
2021,0,659,3887,6199,0,121,230,0,70991,2558,30355,129425,9607,595,3154,,159126,,0,251,0,0,829,40,,24622,,946,76,197927
